first_name,last_name,state,district,party,chamber
Donald,Norcross,New Jersey,1,Democratic,House
Alma,Adams,North Carolina,12,Democratic,House
Katherine,Clark,Massachusetts,5,Democratic,House
Jason,Smith,Missouri,8,Republican,House
Andy,Barr,Kentucky,6,Republican,House
Yvette,Clarke,New York,9,Democratic,House
Paul,Tonko,New York,20,Democratic,House
Robin,Kelly,Illinois,2,Democratic,House
Gregory,Meeks,New York,5,Democratic,House
Nydia,Velázquez,New York,7,Democratic,House
Michael,Turner,Ohio,10,Republican,House
Derek,Tran,California,45,Democratic,House
Mark,Pocan,Wisconsin,2,Democratic,House
Marc,Veasey,Texas,33,Democratic,House
Roger,Williams,Texas,25,Republican,House
Joaquin,Castro,Texas,20,Democratic,House
Randy,Weber,Texas,14,Republican,House
David,Joyce,Ohio,14,Republican,House
Joyce,Beatty,Ohio,3,Democratic,House
Hakeem,Jeffries,New York,8,Democratic,House
Grace,Meng,New York,6,Democratic,House
Julia,Brownley,California,26,Democratic,House
Jared,Huffman,California,2,Democratic,House
Suzan,DelBene,Washington,1,Democratic,House
Thomas,Massie,Kentucky,4,Republican,House
Suzanne,Bonamici,Oregon,1,Democratic,House
Mark,Amodei,Nevada,2,Republican,House
Robert,Wittman,Virginia,1,Republican,House
H.,Griffith,Virginia,9,Republican,House
Scott,DesJarlais,Tennessee,4,Republican,House
Charles,Fleischmann,Tennessee,3,Republican,House
Andy,Harris,Maryland,1,Republican,House
William,Keating,Massachusetts,9,Democratic,House
Austin,Scott,Georgia,8,Republican,House
Frederica,Wilson,Florida,24,Democratic,House
Steve,Womack,Arkansas,3,Republican,House
Terri,Sewell,Alabama,7,Democratic,House
Steve,Cohen,Tennessee,9,Democratic,House
Jim,Jordan,Ohio,4,Republican,House
Vern,Buchanan,Florida,16,Republican,House
Kathy,Castor,Florida,14,Democratic,House
Gus,Bilirakis,Florida,12,Republican,House
Mike,Quigley,Illinois,5,Democratic,House
